[2026-03-07 20:59:09] 🚀 2D 终极万维版启动 (N_BINS=10000)
[2026-03-07 21:28:50] [Worker] k1=np.float64(6.732936990357911), k2=np.float64(32.603455415351945) | MSE=640502.971855 | N=2184 | 1780.8s
[2026-03-07 21:28:54] [Worker] k1=np.float64(13.848550747386057), k2=np.float64(1.0637228845860882) | MSE=24394.310030 | N=2224 | 1784.4s
[2026-03-07 21:30:09] [Worker] k1=np.float64(11.695446926969444), k2=np.float64(30.884800862850238) | MSE=379996.316152 | N=2223 | 1859.8s
[2026-03-07 21:30:10] [Worker] k1=np.float64(9.92428233418527), k2=np.float64(18.8914668111958) | MSE=890228.095198 | N=2207 | 1860.3s
[2026-03-07 21:31:08] [Worker] k1=np.float64(6.19016266838936), k2=np.float64(30.14387059760008) | MSE=141706.691371 | N=2185 | 1918.6s
[2026-03-07 21:31:12] [Worker] k1=np.float64(11.05748855635128), k2=np.float64(11.007335058484182) | MSE=26209331.388684 | N=2210 | 1922.7s
[2026-03-07 21:31:24] [Worker] k1=np.float64(14.232268152543634), k2=np.float64(7.065282234267092) | MSE=491144.503762 | N=2213 | 1934.3s
[2026-03-07 21:33:33] [Worker] k1=np.float64(5.65623117565497), k2=np.float64(25.724266001131234) | MSE=6127825.466317 | N=2173 | 2063.9s
[2026-03-07 21:33:51] [Worker] k1=np.float64(9.805786355205361), k2=np.float64(4.690337175211896) | MSE=175547.118265 | N=2193 | 2081.4s
[2026-03-07 21:33:53] [Worker] k1=np.float64(12.370608141580192), k2=np.float64(28.09960668951173) | MSE=5053261.758857 | N=2225 | 2084.0s
[2026-03-07 21:34:00] [Worker] k1=np.float64(11.287539337707406), k2=np.float64(1.870320379087211) | MSE=13563.773041 | N=2206 | 2090.4s
[2026-03-07 21:34:05] [Worker] k1=np.float64(12.190049737428016), k2=np.float64(11.287512462888804) | MSE=42762.950549 | N=2221 | 2095.7s
[2026-03-07 21:34:09] [Worker] k1=np.float64(14.172871213010007), k2=np.float64(22.62579859330031) | MSE=7858485.117046 | N=2230 | 2099.1s
[2026-03-07 21:34:11] [Worker] k1=np.float64(13.04496076609039), k2=np.float64(4.080840486492342) | MSE=155367.029558 | N=2216 | 2101.5s
[2026-03-07 21:34:18] [Worker] k1=np.float64(12.014161504734885), k2=np.float64(13.431738913732445) | MSE=50418760.094848 | N=2213 | 2109.0s
[2026-03-07 21:34:23] [Worker] k1=np.float64(10.608265974938623), k2=np.float64(-2.9662853419632462) | MSE=1200597.243474 | N=2189 | 2113.7s
[2026-03-07 21:34:49] [Worker] k1=np.float64(6.826615517571399), k2=np.float64(11.110513594740867) | MSE=4161853.812390 | N=2169 | 2139.7s
[2026-03-07 21:34:58] [Worker] k1=np.float64(13.313260609334334), k2=np.float64(7.188336478920691) | MSE=16952.029408 | N=2224 | 2148.2s
[2026-03-07 21:34:59] [Worker] k1=np.float64(14.309196856928576), k2=np.float64(27.472183535670823) | MSE=74172.842165 | N=2230 | 2149.4s
[2026-03-07 21:35:02] [Worker] k1=np.float64(9.978939806258587), k2=np.float64(13.063259603737405) | MSE=145399.500227 | N=2196 | 2152.4s
[2026-03-07 21:35:05] [Worker] k1=np.float64(14.719374519321658), k2=np.float64(24.507557625346976) | MSE=2141415.671011 | N=2233 | 2155.9s
[2026-03-07 21:35:16] [Worker] k1=np.float64(13.43220165549134), k2=np.float64(19.233428171372843) | MSE=12237682.728429 | N=2217 | 2166.2s
[2026-03-07 21:35:21] [Worker] k1=np.float64(9.847196371321493), k2=np.float64(-1.547202578023903) | MSE=1342756.871486 | N=2188 | 2171.0s
[2026-03-07 21:35:23] [Worker] k1=np.float64(8.098471176804885), k2=np.float64(33.22800603964898) | MSE=1230.535668 | N=2195 | 2173.8s
[2026-03-07 21:35:46] [Worker] k1=np.float64(13.23214339000683), k2=np.float64(-0.12905512398446817) | MSE=7403450.874585 | N=2210 | 2196.7s
[2026-03-07 21:36:00] [Worker] k1=np.float64(6.937204395265429), k2=np.float64(-4.0911880264046765) | MSE=284253.371789 | N=2162 | 2210.4s
[2026-03-07 21:36:01] [Worker] k1=np.float64(10.010488913749768), k2=np.float64(4.2579194808014655) | MSE=106535.030122 | N=2186 | 2211.4s
[2026-03-07 21:36:03] [Worker] k1=np.float64(7.509914401203702), k2=np.float64(10.424299677949456) | MSE=485976.257893 | N=2179 | 2213.1s
[2026-03-07 21:36:03] [Worker] k1=np.float64(14.784727621251463), k2=np.float64(21.656425389104964) | MSE=486230.883444 | N=2226 | 2213.3s
[2026-03-07 21:36:09] [Worker] k1=np.float64(5.071067426360552), k2=np.float64(26.18131554768886) | MSE=385119.404504 | N=2174 | 2220.0s
[2026-03-07 21:36:26] [Worker] k1=np.float64(13.702682661181715), k2=np.float64(19.00833481674961) | MSE=73559.655632 | N=2219 | 2236.0s
[2026-03-07 21:36:36] [Worker] k1=np.float64(8.33205005579337), k2=np.float64(21.412198777775732) | MSE=652356.183344 | N=2185 | 2246.2s
[2026-03-07 21:36:40] [Worker] k1=np.float64(7.589645936194712), k2=np.float64(-2.462546261813742) | MSE=677806.749115 | N=2167 | 2250.1s
[2026-03-07 21:36:44] [Worker] k1=np.float64(6.5391556298342595), k2=np.float64(-1.9838141712716286) | MSE=1246005.745982 | N=2160 | 2254.8s
[2026-03-07 21:36:46] [Worker] k1=np.float64(6.444923856638729), k2=np.float64(19.59384712006795) | MSE=418033.047150 | N=2175 | 2256.1s
[2026-03-07 21:36:55] [Worker] k1=np.float64(8.129067279657798), k2=np.float64(29.663461464195944) | MSE=34286.178421 | N=2186 | 2265.2s
[2026-03-07 21:37:08] [Worker] k1=np.float64(6.079270793334735), k2=np.float64(8.693187585869504) | MSE=566198.178125 | N=2163 | 2278.0s
[2026-03-07 21:37:08] [Worker] k1=np.float64(5.248215386818402), k2=np.float64(6.081344879659907) | MSE=248872.672388 | N=2161 | 2278.8s
[2026-03-07 21:37:18] [Worker] k1=np.float64(7.22687033464171), k2=np.float64(20.211180375603917) | MSE=4895.198426 | N=2189 | 2288.2s
[2026-03-07 21:37:19] [Worker] k1=np.float64(13.993367960273625), k2=np.float64(13.643826878307157) | MSE=3573147.033514 | N=2219 | 2289.7s
[2026-03-07 21:37:20] [Worker] k1=np.float64(14.332779595840606), k2=np.float64(12.643581604802996) | MSE=195708.384663 | N=2223 | 2290.5s
[2026-03-07 21:37:25] [Worker] k1=np.float64(5.726856985697852), k2=np.float64(14.594664832565671) | MSE=23754.904898 | N=2161 | 2295.2s
[2026-03-07 21:37:28] [Worker] k1=np.float64(8.464194892638675), k2=np.float64(17.565926636307914) | MSE=80572.874548 | N=2185 | 2298.3s
[2026-03-07 21:37:28] [Worker] k1=np.float64(12.960040557160948), k2=np.float64(27.652885107665938) | MSE=8628.107984 | N=2222 | 2298.3s
[2026-03-07 21:37:33] [Worker] k1=np.float64(12.544561654631927), k2=np.float64(25.29145438337279) | MSE=149198.078223 | N=2215 | 2303.3s
[2026-03-07 21:37:34] [Worker] k1=np.float64(11.013524690172552), k2=np.float64(-1.9244727825492767) | MSE=88706.654950 | N=2190 | 2304.2s
[2026-03-07 21:37:34] [Worker] k1=np.float64(7.147696876782019), k2=np.float64(22.71337962018911) | MSE=554796.780269 | N=2183 | 2304.5s
[2026-03-07 21:37:35] [Worker] k1=np.float64(12.05501463704709), k2=np.float64(16.045467307029636) | MSE=2114812.553940 | N=2214 | 2305.5s
[2026-03-07 21:37:42] [Worker] k1=np.float64(10.915990463030623), k2=np.float64(10.34788014528347) | MSE=5911.110420 | N=2205 | 2312.9s
[2026-03-07 21:37:49] [Worker] k1=np.float64(10.354448886386521), k2=np.float64(12.288472989160088) | MSE=1915.065341 | N=2204 | 2319.2s
[2026-03-07 21:37:49] [Worker] k1=np.float64(8.991835208028649), k2=np.float64(4.976454129382395) | MSE=135113.162385 | N=2174 | 2319.2s
[2026-03-07 21:37:49] [Worker] k1=np.float64(5.925532938095443), k2=np.float64(20.886482685177526) | MSE=20219.185613 | N=2181 | 2319.7s
[2026-03-07 21:37:52] [Worker] k1=np.float64(6.474116439051918), k2=np.float64(5.49478039166358) | MSE=1066596.216476 | N=2171 | 2322.7s
[2026-03-07 21:37:53] [Worker] k1=np.float64(10.777459736413226), k2=np.float64(0.24499589198724436) | MSE=265181.532736 | N=2191 | 2323.8s
[2026-03-07 21:37:57] [Worker] k1=np.float64(10.131004334784265), k2=np.float64(34.74450544450923) | MSE=811820.287952 | N=2221 | 2327.7s
[2026-03-07 21:37:58] [Worker] k1=np.float64(14.977813129753958), k2=np.float64(16.685088257007386) | MSE=453959.101197 | N=2229 | 2328.8s
[2026-03-07 21:37:58] [Worker] k1=np.float64(5.712604373731696), k2=np.float64(4.591422016553945) | MSE=2393767.488586 | N=2165 | 2328.9s
[2026-03-07 21:38:00] [Worker] k1=np.float64(14.418005855660585), k2=np.float64(3.4072881621034554) | MSE=8576.385906 | N=2218 | 2330.2s
[2026-03-07 21:38:07] [Worker] k1=np.float64(8.002152871160964), k2=np.float64(20.953800391340582) | MSE=567159.653364 | N=2187 | 2337.0s
[2026-03-07 21:38:07] [Worker] k1=np.float64(14.428520559606483), k2=np.float64(6.666689438143143) | MSE=25635.307421 | N=2222 | 2337.3s
[2026-03-07 21:38:19] [Worker] k1=np.float64(8.888126889816876), k2=np.float64(6.300388971511472) | MSE=27451.030283 | N=2182 | 2349.1s
[2026-03-07 21:38:19] [Worker] k1=np.float64(5.2965897510338165), k2=np.float64(32.219653831018896) | MSE=137091.810157 | N=2176 | 2349.4s
[2026-03-07 21:38:22] [Worker] k1=np.float64(12.73798727365351), k2=np.float64(-0.5225351143749197) | MSE=315170.986380 | N=2207 | 2352.3s
[2026-03-07 21:38:23] [Worker] k1=np.float64(9.510529065964258), k2=np.float64(25.554765422830368) | MSE=2384.732561 | N=2202 | 2353.7s
[2026-03-07 21:38:28] [Worker] k1=np.float64(10.395091071979381), k2=np.float64(-4.569633350946955) | MSE=5661250.210383 | N=2190 | 2358.7s
[2026-03-07 21:38:30] [Worker] k1=np.float64(9.027050759030246), k2=np.float64(23.002312521142084) | MSE=1305193.679682 | N=2202 | 2360.7s
[2026-03-07 21:38:31] [Worker] k1=np.float64(5.356299291187257), k2=np.float64(31.535978287863912) | MSE=1688852.241746 | N=2176 | 2361.9s
[2026-03-07 21:38:33] [Worker] k1=np.float64(14.528630867598917), k2=np.float64(-0.9347979524999488) | MSE=13334830.812048 | N=2224 | 2363.8s
[2026-03-07 21:38:34] [Worker] k1=np.float64(13.185686838146635), k2=np.float64(9.027432228985116) | MSE=215727.916635 | N=2217 | 2364.7s
[2026-03-07 21:38:35] [Worker] k1=np.float64(5.199470874565081), k2=np.float64(24.04561023532052) | MSE=25322.488626 | N=2164 | 2365.7s
[2026-03-07 21:38:36] [Worker] k1=np.float64(7.785357899152773), k2=np.float64(-2.572789854081087) | MSE=446604.541621 | N=2170 | 2366.2s
[2026-03-07 21:38:36] [Worker] k1=np.float64(7.406950459995278), k2=np.float64(30.39656732307521) | MSE=99948.592018 | N=2189 | 2366.4s
[2026-03-07 21:38:36] [Worker] k1=np.float64(7.727308802711201), k2=np.float64(5.5394336663335295) | MSE=2207705.921502 | N=2178 | 2366.6s
[2026-03-07 21:38:41] [Worker] k1=np.float64(6.771651823084453), k2=np.float64(30.984946036474774) | MSE=376004.915885 | N=2183 | 2371.6s
[2026-03-07 21:38:41] [Worker] k1=np.float64(8.203742725714275), k2=np.float64(20.485365935392792) | MSE=7683.392226 | N=2190 | 2371.9s
[2026-03-07 21:38:43] [Worker] k1=np.float64(11.39973084051679), k2=np.float64(9.228721491472898) | MSE=7702884.651490 | N=2213 | 2373.6s
[2026-03-07 21:38:44] [Worker] k1=np.float64(13.72133590996749), k2=np.float64(3.6174804816632395) | MSE=64218.247930 | N=2221 | 2375.0s
[2026-03-07 21:38:46] [Worker] k1=np.float64(12.992971373868963), k2=np.float64(7.8542535414981245) | MSE=12618354.291940 | N=2218 | 2376.8s
[2026-03-07 21:38:50] [Worker] k1=np.float64(10.486799448342065), k2=np.float64(3.0929887640788483) | MSE=2317809.223040 | N=2205 | 2380.7s
[2026-03-07 21:38:51] [Worker] k1=np.float64(10.942688991462683), k2=np.float64(16.14161492611966) | MSE=2006.989970 | N=2205 | 2381.2s
[2026-03-07 21:38:52] [Worker] k1=np.float64(8.236296157903949), k2=np.float64(15.703565161986589) | MSE=75362.923952 | N=2184 | 2382.6s
[2026-03-07 21:38:52] [Worker] k1=np.float64(8.557714172079095), k2=np.float64(-0.5892989056248776) | MSE=2861924.138465 | N=2173 | 2383.0s
[2026-03-07 21:38:53] [Worker] k1=np.float64(7.000378168888785), k2=np.float64(21.954615715147725) | MSE=4502713.048685 | N=2187 | 2383.2s
[2026-03-07 21:38:54] [Worker] k1=np.float64(8.825944564703498), k2=np.float64(9.662114895458021) | MSE=741516.209514 | N=2188 | 2383.9s
[2026-03-07 21:38:56] [Worker] k1=np.float64(10.530983011727633), k2=np.float64(22.34043598620682) | MSE=389209.429903 | N=2213 | 2386.9s
[2026-03-07 21:38:58] [Worker] k1=np.float64(13.467064846896662), k2=np.float64(7.898384489196603) | MSE=271266.636369 | N=2215 | 2389.0s
[2026-03-07 21:38:59] [Worker] k1=np.float64(13.136813207823712), k2=np.float64(25.175281622824834) | MSE=63259.997416 | N=2230 | 2389.5s
[2026-03-07 21:38:59] [Worker] k1=np.float64(12.666937735582891), k2=np.float64(0.6096299967293195) | MSE=21137.691473 | N=2209 | 2389.7s
[2026-03-07 21:39:05] [Worker] k1=np.float64(7.254631194973522), k2=np.float64(24.776498205113068) | MSE=5408872.707064 | N=2184 | 2395.9s
[2026-03-07 21:39:06] [Worker] k1=np.float64(9.216656834787923), k2=np.float64(18.637763944873843) | MSE=1752377.571995 | N=2190 | 2396.1s
[2026-03-07 21:39:06] [Worker] k1=np.float64(14.918041747817117), k2=np.float64(17.689023973561557) | MSE=4139057.381073 | N=2235 | 2396.5s
[2026-03-07 21:39:06] [Worker] k1=np.float64(5.549006033666415), k2=np.float64(27.202887408075007) | MSE=4030.577771 | N=2173 | 2397.0s
[2026-03-07 21:39:07] [Worker] k1=np.float64(11.140637494382437), k2=np.float64(10.771706307660356) | MSE=6251264.242946 | N=2202 | 2397.0s
[2026-03-07 21:39:07] [Worker] k1=np.float64(12.308967999646038), k2=np.float64(24.34743564259296) | MSE=1290941.085675 | N=2221 | 2397.6s
[2026-03-07 21:39:10] [Worker] k1=np.float64(5.813289469169646), k2=np.float64(24.890028934743597) | MSE=8437.847710 | N=2166 | 2400.4s
[2026-03-07 21:39:10] [Worker] k1=np.float64(14.100327301386749), k2=np.float64(26.801962398829385) | MSE=39433.490026 | N=2231 | 2400.9s
[2026-03-07 21:39:11] [Worker] k1=np.float64(12.792371144454233), k2=np.float64(13.025477396189228) | MSE=153176.836432 | N=2215 | 2401.4s
[2026-03-07 21:39:22] [Worker] k1=np.float64(9.421779238952313), k2=np.float64(23.172371331045753) | MSE=400555.770214 | N=2196 | 2413.0s
[2026-03-07 21:39:23] [Worker] k1=np.float64(10.272538584323733), k2=np.float64(29.620224328542864) | MSE=693801.985661 | N=2209 | 2413.5s
