nohup: ignoring input
================================================================================
🚀 算力怪兽觉醒：256核并行 | 全局纯缩放 | 1D 宏观常数 k1 寻优
================================================================================
[*] 正在加载靶向黎曼零点...
[*] 演化步数已锁定为: 100亿步
[*] 寻优法则: 纯缩放 (Pure Scaling) + 全局误差计算 (不屏蔽前50点)
[*] ⚠️ 正在为 256核 阵列分配任务，起飞！
[Worker] 尝试 k=10.377672 | 纯缩放 Scale=600.9411 | 全局 MSE=17887.4523 | 耗时=2181.5s
[Worker] 尝试 k=9.731643 | 纯缩放 Scale=430.6588 | 全局 MSE=2783.9449 | 耗时=2182.6s
[Worker] 尝试 k=10.482880 | 纯缩放 Scale=409.6797 | 全局 MSE=1851.6613 | 耗时=2186.1s
[Worker] 尝试 k=11.391638 | 纯缩放 Scale=1027.9209 | 全局 MSE=104705.0182 | 耗时=2186.2s
[Worker] 尝试 k=12.932966 | 纯缩放 Scale=846.8729 | 全局 MSE=52146.6521 | 耗时=2188.8s
[Worker] 尝试 k=6.413778 | 纯缩放 Scale=515.3008 | 全局 MSE=6740.7464 | 耗时=2189.7s
[Worker] 尝试 k=12.249872 | 纯缩放 Scale=405.5575 | 全局 MSE=1724.6859 | 耗时=2192.0s
[Worker] 尝试 k=10.167445 | 纯缩放 Scale=280.3257 | 全局 MSE=464.0693 | 耗时=2192.6s
[Worker] 尝试 k=14.139694 | 纯缩放 Scale=3000.4163 | 全局 MSE=1501862.1043 | 耗时=2193.4s
[Worker] 尝试 k=13.019355 | 纯缩放 Scale=567.5402 | 全局 MSE=13355.0782 | 耗时=2194.0s
[Worker] 尝试 k=6.006134 | 纯缩放 Scale=487.0533 | 全局 MSE=5434.0206 | 耗时=2194.5s
[Worker] 尝试 k=8.005004 | 纯缩放 Scale=470.7954 | 全局 MSE=4105.6932 | 耗时=2199.7s
[Worker] 尝试 k=12.502884 | 纯缩放 Scale=555.5791 | 全局 MSE=10916.8632 | 耗时=2200.2s
[Worker] 尝试 k=5.179805 | 纯缩放 Scale=634.5347 | 全局 MSE=20782.1039 | 耗时=2201.1s
[Worker] 尝试 k=10.569833 | 纯缩放 Scale=908.2964 | 全局 MSE=74965.9674 | 耗时=2201.7s
[Worker] 尝试 k=11.853646 | 纯缩放 Scale=349.4472 | 全局 MSE=180.2682 | 耗时=2202.3s
[Worker] 尝试 k=13.773377 | 纯缩放 Scale=1908.9751 | 全局 MSE=570303.5899 | 耗时=2203.8s
[Worker] 尝试 k=9.699341 | 纯缩放 Scale=390.4697 | 全局 MSE=821.8455 | 耗时=2205.9s
[Worker] 尝试 k=7.293028 | 纯缩放 Scale=558.6947 | 全局 MSE=12248.7022 | 耗时=2206.4s
[Worker] 尝试 k=6.981438 | 纯缩放 Scale=286.7832 | 全局 MSE=498.9261 | 耗时=2206.8s
[Worker] 尝试 k=6.160177 | 纯缩放 Scale=332.6739 | 全局 MSE=98.5210 | 耗时=2207.6s
[Worker] 尝试 k=8.883191 | 纯缩放 Scale=424.0626 | 全局 MSE=2263.0577 | 耗时=2207.9s
[Worker] 尝试 k=6.128358 | 纯缩放 Scale=1320.2776 | 全局 MSE=228264.1976 | 耗时=2208.5s
[Worker] 尝试 k=9.981556 | 纯缩放 Scale=1118.0608 | 全局 MSE=140780.7376 | 耗时=2210.0s
[Worker] 尝试 k=13.058358 | 纯缩放 Scale=646.1136 | 全局 MSE=20169.1890 | 耗时=2210.1s
[Worker] 尝试 k=8.396997 | 纯缩放 Scale=709.1172 | 全局 MSE=36769.5056 | 耗时=2211.3s
[Worker] 尝试 k=13.661906 | 纯缩放 Scale=708.2360 | 全局 MSE=35995.2176 | 耗时=2211.7s
[Worker] 尝试 k=8.156356 | 纯缩放 Scale=732.6298 | 全局 MSE=28581.4831 | 耗时=2211.8s
