nohup: ignoring input
=====================================================================================
🚀 算力怪兽重归正道：256核并行 | 强制 b=0 纯比例拟合 (寻找物理圣杯)
=====================================================================================
[*] 正在加载 100 阶黎曼零点真值...
[*] 锁定 100 亿步混沌演化 | 物理限制: b ≡ 0 (无漂移)
[Worker] k=11.255505 | MSE=87.0715 | Scale=324.6016 | 耗时=2254.1s
[Worker] k=14.387487 | MSE=71.0093 | Scale=320.7710 | 耗时=2254.7s
[Worker] k=6.003571 | MSE=36.8570 | Scale=307.0147 | 耗时=2255.2s
[Worker] k=9.156405 | MSE=21.4693 | Scale=305.9395 | 耗时=2256.9s
[Worker] k=2.043863 | MSE=29.0321 | Scale=311.7657 | 耗时=2261.0s
[Worker] k=14.444441 | MSE=115.4850 | Scale=336.5710 | 耗时=2262.9s
[Worker] k=4.012155 | MSE=61.9157 | Scale=320.3539 | 耗时=2263.3s
[Worker] k=5.181930 | MSE=76.7021 | Scale=313.5218 | 耗时=2263.9s
[Worker] k=5.895979 | MSE=121.9743 | Scale=337.0928 | 耗时=2264.0s
[Worker] k=6.118916 | MSE=55.4496 | Scale=318.0655 | 耗时=2270.5s
[Worker] k=11.008567 | MSE=83.9899 | Scale=325.9558 | 耗时=2270.8s
[Worker] k=6.371072 | MSE=85.5777 | Scale=326.7655 | 耗时=2271.8s
[Worker] k=4.989625 | MSE=52.8620 | Scale=314.3823 | 耗时=2275.3s
[Worker] k=7.360508 | MSE=30.3347 | Scale=318.5404 | 耗时=2277.1s
[Worker] k=14.857657 | MSE=47.2535 | Scale=324.5779 | 耗时=2278.3s
[Worker] k=10.204898 | MSE=58.9819 | Scale=309.6646 | 耗时=2280.0s
[Worker] k=8.753507 | MSE=91.6908 | Scale=333.8137 | 耗时=2280.1s
[Worker] k=11.397939 | MSE=168.8673 | Scale=338.9816 | 耗时=2280.4s
[Worker] k=8.386015 | MSE=66.4540 | Scale=313.1253 | 耗时=2281.9s
[Worker] k=14.067296 | MSE=58.2124 | Scale=327.0539 | 耗时=2282.4s
[Worker] k=13.211969 | MSE=36.0189 | Scale=330.6848 | 耗时=2284.7s
[Worker] k=11.374867 | MSE=67.3619 | Scale=314.7959 | 耗时=2285.1s
[Worker] k=7.263691 | MSE=79.3932 | Scale=327.4466 | 耗时=2285.7s
[Worker] k=6.513065 | MSE=47.4400 | Scale=325.9481 | 耗时=2286.4s
[Worker] k=8.870842 | MSE=119.2778 | Scale=330.8924 | 耗时=2286.6s
